,created_at,retweet_count,favorite_count,rating_numerator,rating_denominator,dog_breed,display_text_range,entities_size_large_w,entities_size_large_h
73,2017-06-15 00:13:52+00:00,4091,18890,13,10,siberian_husky,134,720,1280
74,2017-06-14 16:04:48+00:00,3894,21890,12,10,west_highland_white_terrier,116,1600,1568
75,2017-06-13 17:29:20+00:00,3847,23855,12,10,labrador_retriever,93,1201,1600
76,2017-06-12 16:06:11+00:00,3416,22347,13,10,cocker_spaniel,115,1260,1600
77,2017-06-12 00:15:36+00:00,3318,19459,12,10,flat-coated_retriever,130,1600,1201
78,2017-06-11 21:18:31+00:00,8434,29273,13,10,cardigan,140,1599,1117
79,2017-06-10 16:39:04+00:00,3280,20769,13,10,newfoundland,136,1201,1600
80,2017-06-09 16:22:42+00:00,1308,6154,12,10,vizsla,141,800,533
81,2017-06-09 00:02:31+00:00,4480,23429,12,10,labrador_retriever,133,1182,1160
82,2017-06-08 14:20:41+00:00,3108,12731,13,10,pug,141,583,479
83,2017-06-08 01:06:27+00:00,3010,17742,13,10,cocker_spaniel,117,1201,1600
84,2017-06-07 16:14:40+00:00,7543,35023,12,10,pembroke,134,1586,1600
85,2017-06-06 16:07:15+00:00,6705,29419,12,10,pug,127,1201,1600
86,2017-06-06 00:01:46+00:00,9095,32170,13,10,shetland_sheepdog,137,1201,1600
87,2017-06-05 16:15:56+00:00,2920,17380,12,10,labrador_retriever,135,1600,1201
88,2017-06-04 23:56:03+00:00,2886,17399,12,10,komondor,141,1600,1064
89,2017-06-03 15:55:36+00:00,3171,19628,13,10,kelpie,137,1201,1600
90,2017-06-03 00:48:22+00:00,5191,28960,11,10,unknown,137,901,1600
91,2017-06-02 15:00:16+00:00,2160,10592,13,10,pembroke,139,1024,1024
92,2017-06-01 20:18:38+00:00,22214,71398,13,10,golden_retriever,140,1600,1520
93,2017-06-01 16:00:09+00:00,3489,18938,13,10,greater_swiss_mountain_dog,126,1200,1600
94,2017-05-31 23:43:25+00:00,6960,31589,14,10,unknown,141,1014,761
95,2017-05-31 04:27:59+00:00,8513,36764,13,10,pembroke,111,1201,1600
96,2017-05-30 23:51:58+00:00,5303,24341,13,10,pembroke,140,901,1600
97,2017-05-30 16:49:31+00:00,2588,13736,12,10,chihuahua,140,1228,1600
98,2017-05-29 16:24:37+00:00,3142,17637,13,10,pembroke,128,1008,1203
99,2017-05-28 17:23:24+00:00,12040,56496,14,10,french_bulldog,99,1201,1600
100,2017-05-28 00:18:35+00:00,4381,22977,13,10,labrador_retriever,103,1199,1280
101,2017-05-27 19:39:34+00:00,1712,8679,12,10,whippet,140,1024,1365
102,2017-05-26 00:29:37+00:00,3511,21011,12,10,labrador_retriever,128,1340,1600
103,2017-05-25 16:10:44+00:00,6156,29507,13,10,border_collie,62,616,306
104,2017-05-24 16:44:18+00:00,2086,13931,12,10,eskimo_dog,134,1201,1600
105,2017-05-23 16:16:06+00:00,6683,27939,13,10,samoyed,133,1601,1600
106,2017-05-22 16:06:55+00:00,2918,16686,12,10,flat-coated_retriever,135,901,1600
107,2017-05-22 00:28:40+00:00,29650,105937,13,10,french_bulldog,107,1179,1600
108,2017-05-21 16:48:45+00:00,12031,45428,12,10,samoyed,113,1201,1600
109,2017-05-19 23:57:46+00:00,4743,22251,13,10,golden_retriever,131,900,1600
110,2017-05-19 00:12:11+00:00,4211,22968,13,10,chesapeake_bay_retriever,128,1201,1600
111,2017-05-18 00:50:50+00:00,6561,24381,13,10,pembroke,118,1402,1600
112,2017-05-17 16:00:15+00:00,7368,28039,14,10,unknown,118,1600,1201
113,2017-05-16 00:41:21+00:00,2533,12705,12,10,bull_mastiff,130,1600,1344
114,2017-05-15 19:14:50+00:00,7447,26005,13,10,golden_retriever,94,1600,1201
115,2017-05-15 00:02:33+00:00,3537,17939,13,10,unknown,118,1201,1600
116,2017-05-14 00:34:33+00:00,3573,13299,13,10,eskimo_dog,92,320,568
117,2017-05-13 16:33:49+00:00,4493,20679,12,10,staffordshire_bullterrier,129,1201,1600
118,2017-05-12 17:12:53+00:00,939,7721,14,10,lakeland_terrier,140,749,1035
119,2017-05-12 16:05:02+00:00,2052,7314,13,10,french_bulldog,140,800,533
120,2017-05-12 00:46:44+00:00,4382,16761,13,10,australian_terrier,122,1599,644
121,2017-05-11 17:34:13+00:00,3037,14932,11,10,basset,136,1600,1201
122,2017-05-11 00:01:27+00:00,4179,17812,13,10,unknown,134,1600,1197
123,2017-05-10 00:08:34+00:00,19666,64736,13,10,chow,108,901,1600
124,2017-05-08 00:54:59+00:00,9112,31497,13,10,cardigan,73,1600,1575
125,2017-05-07 18:36:02+00:00,3528,14965,13,10,bouvier_des_flandres,139,640,800
126,2017-05-06 23:49:50+00:00,3271,14570,12,10,german_shepherd,97,1201,1600
127,2017-05-05 18:36:06+00:00,1826,6553,13,10,cardigan,139,596,596
128,2017-05-05 16:00:04+00:00,4513,20640,13,10,bedlington_terrier,98,560,850
129,2017-05-04 23:34:55+00:00,3014,16060,12,10,unknown,132,1279,1600
130,2017-05-04 17:30:24+00:00,5023,14599,14,10,unknown,134,1600,1920
131,2017-05-04 00:15:58+00:00,3517,17110,12,10,french_bulldog,141,1200,1600
