dog_group,dog_breed
scenthound,Great_Anglo-Francais_White_and_Black_Hound
scenthound,Great_Anglo-Francais_White_and_Orange_Hound
guardian_dog,Great_Dane
guardian_dog,Great_Pyrenees
guardian_dog,Greater_Swiss_Mountain_Dog
northern_breed,Greenland_Dog
sighthound_&_pariah,Greyhound
scenthound,Griffon_Bleu_de_Gascogne
scenthound,Griffon_Fauve_de_Bretagne
scenthound,Griffon_Nivernais
scenthound,Haldenstover_(Halden_Hound)
scenthound,Hamiltonstovare
scenthound,Hanoverian_Hound
scenthound,Harrier
companion_dog,Havanese
scenthound,Hellenic_Hound
northern_breed,Hokkaido
guardian_dog,Hovawart
sighthound_&_pariah,Hungarian_Greyhound_(Magyar_Agar)
sighthound_&_pariah,Hungarian_Wire-Haired_Vizsla
scenthound,Hygen_Hound
sighthound_&_pariah,Ibizan_Hound
herding_dog,Icelandic_Sheepdog
sighthound_&_pariah,Irish_Red_and_White_Setter
sighthound_&_pariah,Irish_Setter
terrier,Irish_Terrier
sighthound_&_pariah,Irish_Water_Spaniel
sighthound_&_pariah,Irish_Wolfhound
scenthound,Istrian_Coarse-Haired_Hound
scenthound,Istrian_Short-Haired_Hound
companion_dog,Italian_Greyhound
scenthound,Italian_Hound
terrier,Jack_Russell_Terrier
terrier,Jagdterrier
northern_breed,Japanese_Akitainu
companion_dog,Japanese_Chin
northern_breed,Japanese_Spitz
terrier,Japanese_Terrier
northern_breed,Jindo
northern_breed,Kai
guardian_dog,Kangal_Dog
northern_breed,Karelian_Bear_Dog
guardian_dog,Karst_Shepherd_Dog
northern_breed,Keeshond
terrier,Kerry_Blue_Terrier
northern_breed,Kishu
guardian_dog,Komondor
sighthound_&_pariah,Kooikerhondje
companion_dog,Kromfohrlander
guardian_dog,Kuvasz
sighthound_&_pariah,Labrador_Retriever
sighthound_&_pariah,Lagotto_Romagnolo
terrier,Lakeland_Terrier
herding_dog,Lancashire_Heeler
herding_dog,Lapinporokoira_(Lapponian_Herder)
sighthound_&_pariah,Large_Munsterlander
guardian_dog,Leonberger
companion_dog,Lhasa_Apso
